candidato,creado,fav,rt,texto
Cynthia_Viteri,01/22/2017,20.0,14.0,Este domingo juntos por la reactivacion de #Esmeraldas! Plan #MiCasa creditos empleo y turismo para un https://t.co/UZaptb3bAc
Cynthia_Viteri,01/22/2017,68.0,50.0,A toda familia trabajadora del sector publico yo le voy a garantizar su empleo. https://t.co/xjVm2dClzG
Cynthia_Viteri,01/21/2017,146.0,122.0,En #Azogues como en todo Ecuador jovenes podran estudiar lo que les apasionereactivaremos produccion y empleo co https://t.co/Q5rWdX1xxk
Cynthia_Viteri,01/21/2017,210.0,174.0,Un impuesto mas es menos plata en el bolsillo de la gente es quitarle la oportunidad a curarse es quitarle la opo https://t.co/XfwgMWSN9g
Cynthia_Viteri,01/21/2017,50.0,51.0,Les comparto mi entrevista en #EcuadorElige2017 transmitido por @tctelevision. #CambioPositivo: ttps://t.co/X0QMXCSaOL
Cynthia_Viteri,01/21/2017,114.0,57.0,Buenos dias! En la hermosa Santa Ana de los 4 rios de #Cuenca empezamos nuestro recorrido hacia Canar. https://t.co/6HRhBJAxHh
Cynthia_Viteri,01/20/2017,130.0,97.0,El #CambioPositivo consiste en propuestas humanas y claras tambien para tu aspiracion de vivienda. https://t.co/s8KKIdqW2k
Cynthia_Viteri,01/20/2017,51.0,32.0,#ENVIVO por @tctelevision #EcuadorElige2017 https://t.co/0dQPH0A59G
Cynthia_Viteri,01/20/2017,206.0,173.0,La honestidad  supera cualquier infamia. #YoApoyoANebot
Cynthia_Viteri,01/20/2017,42.0,31.0,Acompaname en breve por @tctelevision junto a @rociocedeno y @CLMoralesB #EcuadorElige2017
Cynthia_Viteri,01/20/2017,272.0,223.0,Su moral e integridad no le teme a la infamia inhumana y cruel. Usted es un gran lider que hace la paz y construye. #YoApoyoANebot
Cynthia_Viteri,01/19/2017,144.0,93.0,Guerreros de #Esmeraldas: ni terremotos ni lluvia nos detiene. Con #CambioPositivo tendras vivienda creditos ince https://t.co/eVWfOVtVnh
Cynthia_Viteri,01/19/2017,89.0,45.0,Celebramos cumpleanos de @MauricioPozoEC trabajando por el #CambioPositivo. Anunciamos el plan #MiEmpleo con el que https://t.co/7owf6EvD1P
Cynthia_Viteri,01/19/2017,119.0,67.0,#Esmeraldas dare atencion prioritaria a las provincias mas afectadas. Seremos un gobierno con alma y solidario. https://t.co/oaL2hxPHBp
Cynthia_Viteri,01/19/2017,75.0,44.0,Buenos dias! Desde #Esmeraldas  nuestra hermosa provincia Verde. En vivo desde #TelemarTv . https://t.co/F91nIeAS8m
Cynthia_Viteri,01/19/2017,75.0,55.0,Presentamos junto a @MauricioPozoEC una parte d nuestro equipo economico con quienes sacaremos al #Ecuador d la cr https://t.co/IRDvPST4fZ
Cynthia_Viteri,01/18/2017,276.0,118.0,Es un honor recorrer este camino junto a un hombre sabio e integro como tu @MauricioPozoEC. Feliz cumpleanos com https://t.co/6P4SZXARXc
Cynthia_Viteri,01/18/2017,61.0,57.0,En #Guayaquil presentando mi equipo economico. Tengan la certeza de que cada proyecto esta sustentado y con resulta https://t.co/rtDfU9DcfP
Cynthia_Viteri,01/18/2017,28.0,31.0,Tenemos un minimo de empleos que vamos a crear: 800 mil plazas. Es sencillo decirlo lo distinto esta en decir donde y como.
Cynthia_Viteri,01/18/2017,99.0,77.0,Plan Nacional #MiEmpleo es para cada una de las personas que ha perdido su trabajo o entra al mercado laboral y no encuentran una plaza.
Cynthia_Viteri,01/18/2017,41.0,24.0,#EnVivo anuncio importante junto a @MauricioPozoEC desde Guayaquil: https://t.co/q66zYwfkOn
Cynthia_Viteri,01/18/2017,36.0,25.0,Gracias a @eluniversocom por la entrevista. https://t.co/hytQ8K5c8D
Cynthia_Viteri,01/18/2017,53.0,22.0,Entrevista en el diario @eluniversocom  con Gisella Ronquillo. Expuse mi propuesta de como voy a generar empleo par https://t.co/OmX0Vgql5L
Cynthia_Viteri,01/18/2017,39.0,84.0,Los invito a seguir en vivo mi entrevista en @eluniversocom https://t.co/hytQ8K5c8D
Cynthia_Viteri,01/18/2017,137.0,118.0,En #Guayaquil el 19/02 #Rayatoditititito6! El #CambioPositivo de empleo progreso y bienestar lo logramos JUNTOS. https://t.co/Fq5hCrP81p
Cynthia_Viteri,01/18/2017,185.0,47.0,Ya estoy en casa despues de 4 dias...yo tambien los extrane! https://t.co/6TyGf8HMQI
Cynthia_Viteri,01/17/2017,55.0,43.0,Los invito a escuchar mi entrevista con @diegooquendo en @FmRadiovision https://t.co/lQtWYfa2XG
Cynthia_Viteri,01/17/2017,148.0,119.0,Que es para mi el #CambioPositivo? https://t.co/x0mk1lJXXm
Cynthia_Viteri,01/17/2017,47.0,50.0,Nunca mas nos convertiran en victimas y complices. Como madre voy a educar a nuestra sociedad en respeto igualdad y amor.
Cynthia_Viteri,01/17/2017,58.0,49.0,4 - Violencia psicologica sera tratada por especialistas. Cadena perpetua es para casos de femicidio. Lo demas es sujeto a rehabilitacion.
Cynthia_Viteri,01/17/2017,28.0,22.0,2 - Numero de telefono alternativo para este tipo de casos.  3 - Educacion para nuestros ninos.
Cynthia_Viteri,01/17/2017,29.0,51.0,He presentado un plan integral: 1. Asistencia inmediata a traves de BOToN ANTIPaNICO a disposicion de todos.
Cynthia_Viteri,01/17/2017,22.0,33.0,Para los que no tengan telefonos inteligentes habra un numero especial para casos de violencia intrafamiliar. #MujeresProtegidas!
Cynthia_Viteri,01/17/2017,97.0,83.0,Instalaremos una aplicacion en los telefonos celulares para que cualquier mujer o nino pueda oprimir el https://t.co/mCEKmlwSb3
Cynthia_Viteri,01/17/2017,39.0,27.0,#Quito Entrevista en #RadioMajestad  89.7 en vivo. acompaname! https://t.co/u0GESnFns2
Cynthia_Viteri,01/17/2017,68.0,37.0,Buenos dias! Empezamos el dia con entrevista en #RTU con Luis Valarezo. https://t.co/GYbrRLkzS4
Cynthia_Viteri,01/17/2017,99.0,95.0,Hoy pueblo de guerreros ya estamos en la segunda vuelta electoral en todas las encuestas. Por eso nuestro agradecimiento.
Cynthia_Viteri,01/17/2017,60.0,52.0,Vamos a cambiar la historia de este pais. Apenas pido de ustedes un solo dia. Un solo dia para que recuperes tu empleo.
Cynthia_Viteri,01/17/2017,50.0,69.0,Si no se hubieran robado tanto no estarian explotando el Yasuni tragandose a Zaruma o poniendo precio a la cabeza de nuestros indigenas.
Cynthia_Viteri,01/17/2017,27.0,30.0,Con lo que cuesta mantenimiento de vehiculos alimentamos a miles de ninos en escuelas fiscales.
Cynthia_Viteri,01/17/2017,32.0,29.0,Vendiendo aviones presidenciales se construirian miles de viviendas populares. Con lo que costo Refineria del Pacifico miles de guarderias.
Cynthia_Viteri,01/17/2017,35.0,41.0,Vamos a eliminar tabla de consumo de drogas que ha sometido a nuestros hijos en los hogares mas vulnerables.
Cynthia_Viteri,01/17/2017,32.0,42.0,Ley de Comunicacion sera derogada medios de comunicacion volveran a ser libres. Jovenes elegiran libremente carrera que quieran estudiar.
Cynthia_Viteri,01/17/2017,21.0,25.0,No solo decimos el minimo de empleos que vamos a generar sino tambien donde. De esa manera el Ecuador va a cambiar para bien.
Cynthia_Viteri,01/17/2017,22.0,26.0,Dos objetivos tiene nuestra propuesta: aliviar el bolsillo de las familias y generar empleo empleo y mas empleo.
Cynthia_Viteri,01/17/2017,21.0,25.0,Nuestro gobierno sera como los hogares responsables del pais: austero. Protegiendo a las familia en empleo salud vivienda y educacion.
Cynthia_Viteri,01/17/2017,226.0,230.0,Sabemos que la herencia que tenemos de esta decada robada se resume en: se lo gastaron todo nos endeudaron a todos y nos robaron a todos.
Cynthia_Viteri,01/16/2017,30.0,31.0,Cynthia+Mauricio #CambioPositivo #EnVivo desde #Quito #Ecuador : https://t.co/bDxV0hw6Re https://t.co/krh8MOgPXQ
Cynthia_Viteri,01/16/2017,105.0,124.0,Mi posicion sobre el concurso de frecuencias para medios de comunicacion: https://t.co/XJ8LYg4K4b
Cynthia_Viteri,01/16/2017,155.0,137.0,Todo aquel que le haya metido la mano en el bolsillo a la gente pobre va a ir a la carcel. Este donde este!
Cynthia_Viteri,01/16/2017,50.0,72.0,Mi programa de gobierno plantea que tasas de interes no respondan a decision administrativa del Bco. Central sino a situacion del pais. 6/6
Cynthia_Viteri,01/16/2017,39.0,60.0,Sera rentable para bancos dar microcreditos por la deduccion del impuesto: bajaran tasas de interes. 5/6
Cynthia_Viteri,01/16/2017,16.0,52.0,Estimulo de mercado para promover sectores deprimidos y generar empleos sin afectar responsabilidad de bancos con sus depositantes. 4/6
Cynthia_Viteri,01/16/2017,17.0,54.0,Entre mas credito en volumen coloquen bcos. privados a sectores deprimidos (agro y pequenos negocios) mayor descuento del I. a la R. 3/6
Cynthia_Viteri,01/16/2017,13.0,53.0,Para empleo y reactivacion al agro y pequenos empresarios: exonerar a los bancos 50% de I. a la R. por creditos a ellos. 2/6
Cynthia_Viteri,01/16/2017,50.0,73.0,Solo 7% de $20.000M que presta la banca corresponde a microcreditos y 8% al sector agricola. Ante eso 1/6
Cynthia_Viteri,01/16/2017,209.0,155.0,Vendere los medios de comunicacion incautados y el dinero pasara a los verdaderos duenos: EL PUEBLO ECUATORIANO. https://t.co/Tt9fcjtV2U
Cynthia_Viteri,01/16/2017,86.0,65.0,Enseguida detalles de incentivos a microcreditos al agro y pequenos negocios para generar empleo al reactivar la ec https://t.co/ckt7qh3Odo
Cynthia_Viteri,01/16/2017,15.0,13.0,#EnVivo Anuncio importante junto a @MauricioPozoEC : https://t.co/uND8XZAyCq
Cynthia_Viteri,01/16/2017,53.0,60.0,Les pido un solo dia para cambiar la historia de este pais el 19 de febrero y cuidar tu voto. Un solo dia!
Cynthia_Viteri,01/16/2017,44.0,51.0,Yo voy a proceder como Presidenta con este pais como hacemos los padres y madres responsables con los hijos.
Cynthia_Viteri,01/16/2017,34.0,40.0,Desde mayo que asuma la presidencia un prioridad sera  mejorar las relaciones con EEUU y el mundo.
Cynthia_Viteri,01/16/2017,31.0,32.0,La corrupcion tendra el mismo tratamiento a delitos de lesa humanidad.
Cynthia_Viteri,01/16/2017,25.0,21.0,Combatire la corrupcion: #VedaCivil a corruptos los perseguidos por este gobierno desde mayo colaboraran en todos los procesos.
Cynthia_Viteri,01/16/2017,23.0,31.0,Cada una de nuestras propuesta es viable y de reactivacion economica como las guarderias infantiles generara 50 mil empleos.
Cynthia_Viteri,01/16/2017,27.0,24.0,Son delegables alrededor de $4.000M de la obra publica (concesiones) al sector privado. Con esto libero recursos para atender lo urgente.
Cynthia_Viteri,01/16/2017,34.0,33.0,Se acabaron los lujos los aviones el espionaje los vehiculos para cada funcionario y los viajes de asambleistas.
Cynthia_Viteri,01/16/2017,32.0,35.0,La formula del desastre que sostiene este gobierno del Soc. del SXXI que hundio a Venezuela termina el 19 de febrero.
Cynthia_Viteri,01/16/2017,27.0,28.0,Aqui todos pagamos las hidroelectricas. Las familias tienen derecho a beneficiarse de ello los mas pobres tarifa 0 hasta 130 kwh.
Cynthia_Viteri,01/16/2017,70.0,53.0,Quienes estan acostumbrados al despilfarro llaman populismo a las propuestas que alivian la angustia de los ecuatorianos.
Cynthia_Viteri,01/16/2017,29.0,22.0,A los agricultores lo unico que les queda su tierra no se la quitaran. Deudas hasta $5.000 al BANDES seran condonados.
Cynthia_Viteri,01/16/2017,68.0,55.0,Son logicas de un Presidente como Rafael Correa mentiras que ahora repite Lenin Moreno: dijo que 14 M de ecuatorianos no pagan impuestos.
Cynthia_Viteri,01/16/2017,61.0,51.0,Yo voy a desarrollar un cambio de modelo para generar empleo bajando impuestos y energia para poder subir salarios.
Cynthia_Viteri,01/16/2017,100.0,72.0,Proponemos un cambio de modelo para ver desde el hogar la economia de cada ecuatoriano. Yo voy a restituir lo arrebatado al ciudadano.
Cynthia_Viteri,01/15/2017,180.0,125.0,Hoy llenamos calles de #SanGabriel y de #Tulcan porque habra #CambioPositivo con regimen especial para #Carchi. https://t.co/a0fKoNmGp5
Cynthia_Viteri,01/14/2017,242.0,120.0,Hoy suspendi visita a Milagromas de 20 personas murieron en accidenteentre ellos ninos.Lo siento tantoque Dios cubra a  madres y familias
Cynthia_Viteri,01/13/2017,406.0,171.0,Con mis hijas le doy gracias a Dios porque la vida en si misma es una bendicion. Bendito nuestro pais y su magica https://t.co/Mfx4fujaJr
Cynthia_Viteri,01/13/2017,140.0,144.0,Solo les pido un dia!....Un dia para cambiar para bien la historia de esta nacion!!! https://t.co/AIt46jTZXt
Cynthia_Viteri,01/13/2017,259.0,180.0,Subir salarios en crisis? Si porque reactivaremos la economia y mejoraremos calidad de vida. #CambioPositivo con https://t.co/jfwb98Jctc
Cynthia_Viteri,01/13/2017,97.0,102.0,#Manabi mi compromiso con los agricultores: Condonacion d deudas hasta $5000creditos rapidos y bajo interesreacti https://t.co/XLdqzOk6Ls
Cynthia_Viteri,01/13/2017,66.0,45.0,#Ecuador Buenos dias! Los invito a seguir mi entrevista en radio Eco 88.1FM desde El Carmen #Manabi. https://t.co/ABFHNTqqgP
Cynthia_Viteri,01/12/2017,80.0,68.0,Beneficiaremos directamente a mas de 150.000 flias.Pondremos a producir nuestro campo y reactivaremos la economia https://t.co/ZYRinuH1Ac
Cynthia_Viteri,01/12/2017,106.0,66.0,Seran condonadas tanto capital e interes de las deudas de pequenos y medianos agricultores hasta $5.000 ellos forman el 72% de la cartera.
Cynthia_Viteri,01/12/2017,414.0,488.0,Respuesta a Lenin Moreno: https://t.co/PjCugRma8A
Cynthia_Viteri,01/12/2017,71.0,105.0,#Manabi #Portoviejo en Radio Scandalo 103.7 FM Hoy dare a conocer un gran compromiso con los agricultores del pais https://t.co/IoJcxr88tD
Cynthia_Viteri,01/12/2017,121.0,140.0, Buen dia! Desde Manta empezamos recorrido en #Manabi. Gracias a los medios por su interes a nuestra propuesta por https://t.co/fzbox7V8Xq
Cynthia_Viteri,01/11/2017,109.0,78.0,En Hogar de Cristo me reuni con madres que anhelan vivienda para sus familias. Por ustedes y para ustedes es el Pla https://t.co/g17bzmQ8Cq
Cynthia_Viteri,01/11/2017,73.0,94.0,Juntos le devolveremos salud educacion empleo y vivienda a la gente a las familias pobres. El 19/02/17 cada uno https://t.co/LaovBHEm65
Cynthia_Viteri,01/11/2017,57.0,88.0,Defender el voto no es solo trabajo de @ControlEc2017 . Cada ecuatoriano libre estara haciendo respetar el cambio entre pobreza y bienestar.
Cynthia_Viteri,01/11/2017,332.0,155.0,Vamos a defender el voto de los ecuatorianos o el 19/02/17 cuidamos la voluntad popular o este pais se hunde como Venezuela.
Cynthia_Viteri,01/10/2017,200.0,122.0,Para este encuentro nos acompanaron los amigos de la prensa. Juntos conocimos la historia de Mayra y su madre! Todo https://t.co/vW2UlC2BAk
Cynthia_Viteri,01/10/2017,75.0,64.0,Agradezco invitacion de @FEUPE_EC a conversar sobre #CambioPositivo. Brindaremos herramientas para el emprendimient https://t.co/35hAgRVkX5
Cynthia_Viteri,01/10/2017,239.0,83.0,Mi Joaquin es una  bendicion que seas parte de mi vida. Gracias  por respetar mis decisiones y ser el mejor compan https://t.co/IKNb6gA6ZS
Cynthia_Viteri,01/10/2017,23.0,13.0,Sigue la transicion en vivo de nuestro encuentro con @FEUPE_EC #DialogoElectoral2017 JovenTuDecides2017 https://t.co/e2g1TfFaMF
Cynthia_Viteri,01/10/2017,33.0,40.0,Lo que queremos es lograr que el ecuatoriano pueda ganar mas por encima de la recuperacion del poder adquisitivo de su salario.
Cynthia_Viteri,01/10/2017,43.0,96.0,Somos el equipo que va a generar y recuperar el empleo que perdieron millones de ecuatorianos en esta decada.
Cynthia_Viteri,01/10/2017,23.0,77.0,Me complace presentar a  Ec. Margarita Andrade Ec. Diego Burneo Ec. Fabian Carrillo Ec. Gonzalo Maldonado equipo con resultados probados
Cynthia_Viteri,01/10/2017,30.0,87.0,Al aumentar el consumo las empresas venden mas y el Estado recauda mas. Nuestra formula es viable y probada.
Cynthia_Viteri,01/10/2017,24.0,76.0,Nuestra propuesta baja costos de produccion a empresas para generar demanda y liquidez aumenta con mejores salarios.
Cynthia_Viteri,01/10/2017,23.0,85.0,Ecuatorianos pierden empleo por altos costos de produccion en  empresas estas no venden reducen personal: un circulo que empobrece.
Cynthia_Viteri,01/10/2017,128.0,156.0,Es facil prometer empleos lo dificil es donde y como. La propuesta de #CambioPositivo parte de 800.000 empleos ese es su piso.
Cynthia_Viteri,01/10/2017,16.0,17.0,#EnVivo Anuncio importante junto a @MauricioPozoEC : https://t.co/huSGtjIgnq
Cynthia_Viteri,01/10/2017,34.0,17.0,. @mayritachiqui Mayra gracias por recibirme en tu hogar! Y un abrazo para tu mamita Miriam para Xavier y Pablo y un besote para tu bebe!
Cynthia_Viteri,01/09/2017,176.0,165.0,Sobre la declaracion de la Asamblea Nacional de Venezuela: https://t.co/F3lfeQGtLU
Cynthia_Viteri,01/09/2017,88.0,70.0,El #CambioPositivo es lleno de oportunidades para todos. Lo conversamos con jovenes de la PUCE - Q. Gracias por su https://t.co/wXZ5hJSwBt
Cynthia_Viteri,01/09/2017,156.0,113.0,Gracias por lo que estamos construyendo juntos! hermandad alegria esperanza! Se siente un ambiente positivo en c https://t.co/iiHMh8nHtg
Cynthia_Viteri,01/09/2017,60.0,124.0,Conoce nuestra propuesta de guarderias y horarios flexibles?? #CambioPositivo https://t.co/cnaQFlBGyv
Cynthia_Viteri,01/09/2017,174.0,170.0,Guarderias y horarios flexibles son un #CambioPositivo en vida a todas las madres que no duermen con la angustia de https://t.co/6KioO0EEz5
Cynthia_Viteri,01/09/2017,52.0,92.0,Libertad para contratar entre trabajador y empleador con respeto a garantias de ley: IESS decimos salario segun horas trabajadas.
Cynthia_Viteri,01/09/2017,44.0,170.0,Con esta propuesta miles de madres podran trabajar por horas bajo salario justo que ayude a sus familias.
Cynthia_Viteri,01/09/2017,28.0,169.0,Horarios flexibles de trabajo acordados con el empleador bajo beneficios de ley para adaptarse a la nueva dinamica social.
Cynthia_Viteri,01/09/2017,24.0,168.0,Cada uno de nuestros anuncios esta relacionado con aliviar el bolsillo de las familias ecuatorianas y generacion de empleo.
Cynthia_Viteri,01/09/2017,25.0,156.0,Tras 10 anos de derroche se hace dificil creer que el dinero que ingresa pueda distribuirse en estos proyectos.
Cynthia_Viteri,01/09/2017,20.0,74.0,Una causa del desempleo es el numero de horas que alguien quiere o puede trabajar y lo que la ley permite: ante esoflexibilidad.
